"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,5e+05,1000,0.005,3,random,hdf5,140.557,16.713,166.016
2,5e+05,1000,0.005,3,random,hdf5,132.699,14.012,155.864
3,5e+05,1000,0.005,3,random,hdf5,138.678,15.736,162.886
1,5e+05,1000,0.01,3,random,hdf5,212.713,23.682,236.892
2,5e+05,1000,0.01,3,random,hdf5,211.707,24.15,236.638
3,5e+05,1000,0.01,3,random,hdf5,173.758,19.945,194.155
1,5e+05,1000,0.05,3,random,hdf5,619.858,77.898,698.947
2,5e+05,1000,0.05,3,random,hdf5,675.293,83.776,760.588
3,5e+05,1000,0.05,3,random,hdf5,664.545,79.935,745.803
1,5e+05,1000,0.1,3,random,hdf5,1097.193,148.777,1248.508
2,5e+05,1000,0.1,3,random,hdf5,1195.117,154.085,1351.678
3,5e+05,1000,0.1,3,random,hdf5,1356.862,162.028,1521.885
1,5e+05,1000,0.2,3,random,hdf5,2308.967,308.332,2622.399
2,5e+05,1000,0.2,3,random,hdf5,2687.417,326.241,3019.129
3,5e+05,1000,0.2,3,random,hdf5,2322.75,309.754,2637.353
1,5e+05,1000,0.5,3,random,hdf5,6344.463,865.386,7223.801
2,5e+05,1000,0.5,3,random,hdf5,6549.393,865.581,7429.012
3,5e+05,1000,0.5,3,random,hdf5,6241.884,863.267,7119.248
