"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,1000,1000,0.005,3,random,mbkmeans,0.254,0.014,0.267999999999999
2,1000,1000,0.005,3,random,mbkmeans,0.241,0.016,0.258000000000001
3,1000,1000,0.005,3,random,mbkmeans,0.25,0.00800000000000001,0.259
4,1000,1000,0.005,3,random,mbkmeans,0.243,0.013,0.256
5,1000,1000,0.005,3,random,mbkmeans,0.233,0.016,0.25
6,1000,1000,0.005,3,random,mbkmeans,0.252,0.013,0.266
7,1000,1000,0.005,3,random,mbkmeans,0.228,0.015,0.244
8,1000,1000,0.005,3,random,mbkmeans,0.245,0.00899999999999995,0.254999999999999
9,1000,1000,0.005,3,random,mbkmeans,0.243,0.017,0.260999999999999
10,1000,1000,0.005,3,random,mbkmeans,0.236,0.017,0.254000000000001
1,1000,1000,0.01,3,random,mbkmeans,0.322,0.023,0.347
2,1000,1000,0.01,3,random,mbkmeans,0.3,0.016,0.317
3,1000,1000,0.01,3,random,mbkmeans,0.314,0.012,0.326000000000001
4,1000,1000,0.01,3,random,mbkmeans,0.315,0.024,0.339
5,1000,1000,0.01,3,random,mbkmeans,0.306,0.015,0.324999999999999
6,1000,1000,0.01,3,random,mbkmeans,0.317,0.016,0.334
7,1000,1000,0.01,3,random,mbkmeans,0.287,0.017,0.305
8,1000,1000,0.01,3,random,mbkmeans,0.362,0.021,0.383000000000001
9,1000,1000,0.01,3,random,mbkmeans,0.316,0.019,0.334999999999999
10,1000,1000,0.01,3,random,mbkmeans,0.316,0.018,0.334999999999999
1,1000,1000,0.05,3,random,mbkmeans,0.732,0.028,0.763
2,1000,1000,0.05,3,random,mbkmeans,0.841,0.042,0.884
3,1000,1000,0.05,3,random,mbkmeans,0.849,0.044,0.895
4,1000,1000,0.05,3,random,mbkmeans,0.875,0.055,0.930999999999999
5,1000,1000,0.05,3,random,mbkmeans,0.849,0.035,0.884
6,1000,1000,0.05,3,random,mbkmeans,0.866,0.052,0.918999999999999
7,1000,1000,0.05,3,random,mbkmeans,0.855,0.048,0.902999999999999
8,1000,1000,0.05,3,random,mbkmeans,0.838,0.041,0.880999999999998
9,1000,1000,0.05,3,random,mbkmeans,0.792,0.053,0.856999999999999
10,1000,1000,0.05,3,random,mbkmeans,0.925,0.059,0.984999999999999
1,1000,1000,0.1,3,random,mbkmeans,1.783,0.1,1.887
2,1000,1000,0.1,3,random,mbkmeans,1.723,0.096,1.828
3,1000,1000,0.1,3,random,mbkmeans,1.5,0.085,1.587
4,1000,1000,0.1,3,random,mbkmeans,1.94,0.109,2.052
5,1000,1000,0.1,3,random,mbkmeans,1.693,0.081,1.777
6,1000,1000,0.1,3,random,mbkmeans,1.771,0.096,1.868
7,1000,1000,0.1,3,random,mbkmeans,1.614,0.089,1.705
8,1000,1000,0.1,3,random,mbkmeans,1.679,0.097,1.779
9,1000,1000,0.1,3,random,mbkmeans,1.772,0.099,1.875
10,1000,1000,0.1,3,random,mbkmeans,1.607,0.083,1.705
1,1000,1000,0.2,3,random,mbkmeans,2.459,0.145,2.609
2,1000,1000,0.2,3,random,mbkmeans,3.117,0.199,3.321
3,1000,1000,0.2,3,random,mbkmeans,2.583,0.145,2.733
4,1000,1000,0.2,3,random,mbkmeans,3.027,0.19,3.223
5,1000,1000,0.2,3,random,mbkmeans,2.876,0.153,3.033
6,1000,1000,0.2,3,random,mbkmeans,3.094,0.184,3.283
7,1000,1000,0.2,3,random,mbkmeans,3.571,0.216,3.793
8,1000,1000,0.2,3,random,mbkmeans,3.177,0.19,3.374
9,1000,1000,0.2,3,random,mbkmeans,2.843,0.154,3.033
10,1000,1000,0.2,3,random,mbkmeans,2.618,0.148,2.77
1,1000,1000,0.5,3,random,mbkmeans,5.916,0.426,6.352
2,1000,1000,0.5,3,random,mbkmeans,7.579,0.461,8.054
3,1000,1000,0.5,3,random,mbkmeans,6.102,0.426,6.539
4,1000,1000,0.5,3,random,mbkmeans,8.132,0.576,8.72
5,1000,1000,0.5,3,random,mbkmeans,6.763,0.399,7.174
6,1000,1000,0.5,3,random,mbkmeans,7.974,0.541,8.529
7,1000,1000,0.5,3,random,mbkmeans,7.148,0.433,7.593
8,1000,1000,0.5,3,random,mbkmeans,7.316,0.503,7.832
9,1000,1000,0.5,3,random,mbkmeans,5.763,0.342,6.114
10,1000,1000,0.5,3,random,mbkmeans,6.367,0.374,6.752
1,1000,1000,0.8,3,random,mbkmeans,13.452,0.913,14.389
2,1000,1000,0.8,3,random,mbkmeans,12.331,0.864,13.215
3,1000,1000,0.8,3,random,mbkmeans,9.679,0.594,10.289
4,1000,1000,0.8,3,random,mbkmeans,11.69,0.839,12.549
5,1000,1000,0.8,3,random,mbkmeans,11.927,0.727,12.674
6,1000,1000,0.8,3,random,mbkmeans,12.637,0.869,13.53
7,1000,1000,0.8,3,random,mbkmeans,11.358,0.664,12.041
8,1000,1000,0.8,3,random,mbkmeans,13.798,0.942,14.764
9,1000,1000,0.8,3,random,mbkmeans,11.196,0.66,11.873
10,1000,1000,0.8,3,random,mbkmeans,12.878,0.898,13.798
1,1000,1000,1,3,random,mbkmeans,3.803,0.228,4.037
2,1000,1000,1,3,random,mbkmeans,3.888,0.328,4.221
3,1000,1000,1,3,random,mbkmeans,4.861,0.303,5.171
4,1000,1000,1,3,random,mbkmeans,5.089,0.388,5.484
5,1000,1000,1,3,random,mbkmeans,4.007,0.253,4.266
6,1000,1000,1,3,random,mbkmeans,2.782,0.216,3.003
7,1000,1000,1,3,random,mbkmeans,3.301,0.207,3.525
8,1000,1000,1,3,random,mbkmeans,3.04,0.215,3.26
9,1000,1000,1,3,random,mbkmeans,3.453,0.208,3.666
10,1000,1000,1,3,random,mbkmeans,4.957,0.401,5.365
1,5000,1000,0.005,3,random,mbkmeans,1.181,0.037,1.22
2,5000,1000,0.005,3,random,mbkmeans,1.236,0.066,1.304
3,5000,1000,0.005,3,random,mbkmeans,1.299,0.065,1.366
4,5000,1000,0.005,3,random,mbkmeans,1.212,0.048,1.261
5,5000,1000,0.005,3,random,mbkmeans,1.238,0.057,1.297
6,5000,1000,0.005,3,random,mbkmeans,1.197,0.056,1.258
7,5000,1000,0.005,3,random,mbkmeans,1.217,0.071,1.29
8,5000,1000,0.005,3,random,mbkmeans,1.177,0.041,1.22
9,5000,1000,0.005,3,random,mbkmeans,1.253,0.062,1.317
10,5000,1000,0.005,3,random,mbkmeans,1.166,0.05,1.216
1,5000,1000,0.01,3,random,mbkmeans,1.7,0.084,1.787
2,5000,1000,0.01,3,random,mbkmeans,1.608,0.084,1.696
3,5000,1000,0.01,3,random,mbkmeans,1.662,0.066,1.734
4,5000,1000,0.01,3,random,mbkmeans,1.507,0.077,1.586
5,5000,1000,0.01,3,random,mbkmeans,1.729,0.074,1.806
6,5000,1000,0.01,3,random,mbkmeans,1.644,0.083,1.731
7,5000,1000,0.01,3,random,mbkmeans,1.652,0.072,1.727
8,5000,1000,0.01,3,random,mbkmeans,1.679,0.06,1.743
9,5000,1000,0.01,3,random,mbkmeans,1.578,0.078,1.66
10,5000,1000,0.01,3,random,mbkmeans,1.814,0.096,1.911
1,5000,1000,0.05,3,random,mbkmeans,5.113,0.278,5.4
2,5000,1000,0.05,3,random,mbkmeans,3.828,0.204,4.037
3,5000,1000,0.05,3,random,mbkmeans,4.483,0.236,4.725
4,5000,1000,0.05,3,random,mbkmeans,5.384,0.255,5.647
5,5000,1000,0.05,3,random,mbkmeans,5.172,0.295,5.476
6,5000,1000,0.05,3,random,mbkmeans,4.632,0.214,4.883
7,5000,1000,0.05,3,random,mbkmeans,4.891,0.27,5.17
8,5000,1000,0.05,3,random,mbkmeans,3.753,0.179,3.938
9,5000,1000,0.05,3,random,mbkmeans,4.89,0.284,5.183
10,5000,1000,0.05,3,random,mbkmeans,4.163,0.209,4.378
1,5000,1000,0.1,3,random,mbkmeans,7.709,0.482,8.204
2,5000,1000,0.1,3,random,mbkmeans,7.905,0.482,8.401
3,5000,1000,0.1,3,random,mbkmeans,9.068,0.462,9.545
4,5000,1000,0.1,3,random,mbkmeans,7.701,0.448,8.162
5,5000,1000,0.1,3,random,mbkmeans,7.411,0.432,7.857
6,5000,1000,0.1,3,random,mbkmeans,7.281,0.362,7.655
7,5000,1000,0.1,3,random,mbkmeans,8.064,0.482,8.56
8,5000,1000,0.1,3,random,mbkmeans,8.771,0.447,9.315
9,5000,1000,0.1,3,random,mbkmeans,7.489,0.449,7.95
10,5000,1000,0.1,3,random,mbkmeans,8.221,0.436,8.671
1,5000,1000,0.2,3,random,mbkmeans,15.008,1.011,16.045
