"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,175000,1000,0.005,3,random,hdf5,52.48,3.627,57.781
2,175000,1000,0.005,3,random,hdf5,49.151,3.308,54.144
3,175000,1000,0.005,3,random,hdf5,52.561,3.522,57.75
4,175000,1000,0.005,3,random,hdf5,53.521,3.589,58.807
5,175000,1000,0.005,3,random,hdf5,41.465,3.204,46.301
6,175000,1000,0.005,3,random,hdf5,50.663,3.384,55.728
7,175000,1000,0.005,3,random,hdf5,52.052,3.565,57.262
8,175000,1000,0.005,3,random,hdf5,53.993,3.681,59.358
9,175000,1000,0.005,3,random,hdf5,53.934,3.462,59.05
10,175000,1000,0.005,3,random,hdf5,53.189,3.674,58.51
1,175000,1000,0.01,3,random,hdf5,83.551,4.334,89.657
2,175000,1000,0.01,3,random,hdf5,91.46,4.197,97.317
3,175000,1000,0.01,3,random,hdf5,94.401,4.338,100.326
4,175000,1000,0.01,3,random,hdf5,94.918,4.843,101.594
5,175000,1000,0.01,3,random,hdf5,96.796,4.94,103.327
6,175000,1000,0.01,3,random,hdf5,88.336,4.613,94.784
7,175000,1000,0.01,3,random,hdf5,95.077,4.653,101.462
8,175000,1000,0.01,3,random,hdf5,100.577,4.667,106.87
9,175000,1000,0.01,3,random,hdf5,90.052,4.624,96.404
10,175000,1000,0.01,3,random,hdf5,92.207,4.893,98.658
1,175000,1000,0.05,3,random,hdf5,323.632,20.757,345.898
2,175000,1000,0.05,3,random,hdf5,313.55,20.877,335.791
3,175000,1000,0.05,3,random,hdf5,263.237,19.207,283.935
4,175000,1000,0.05,3,random,hdf5,277.288,21.057,299.984
5,175000,1000,0.05,3,random,hdf5,290.124,21.145,312.8
6,175000,1000,0.05,3,random,hdf5,320.752,21.303,343.622
7,175000,1000,0.05,3,random,hdf5,266.342,19.417,287.232
8,175000,1000,0.05,3,random,hdf5,288.756,20.631,310.988
9,175000,1000,0.05,3,random,hdf5,282.401,20.609,304.539
10,175000,1000,0.05,3,random,hdf5,296.735,21.752,319.723
1,175000,1000,0.1,3,random,hdf5,417.958,37.298,456.6
2,175000,1000,0.1,3,random,hdf5,408.236,36.65,446.195
3,175000,1000,0.1,3,random,hdf5,414.1,37.839,452.975
4,175000,1000,0.1,3,random,hdf5,424.466,38.502,464.001
5,175000,1000,0.1,3,random,hdf5,387.319,35.173,423.377
6,175000,1000,0.1,3,random,hdf5,429.432,39.517,470.203
7,175000,1000,0.1,3,random,hdf5,389.994,36.825,428.013
8,175000,1000,0.1,3,random,hdf5,429.431,39.341,470.062
9,175000,1000,0.1,3,random,hdf5,420.498,39.164,460.63
10,175000,1000,0.1,3,random,hdf5,410.033,37.787,449.075
1,175000,1000,0.2,3,random,hdf5,838.333,70.492,910.299
2,175000,1000,0.2,3,random,hdf5,888.802,79.706,970.039
3,175000,1000,0.2,3,random,hdf5,784.7,66.338,852.45
4,175000,1000,0.2,3,random,hdf5,793.75,67.807,862.882
5,175000,1000,0.2,3,random,hdf5,840.388,76.711,918.619
6,175000,1000,0.2,3,random,hdf5,612.868,52.895,666.775
7,175000,1000,0.2,3,random,hdf5,721.352,66.337,789.006
8,175000,1000,0.2,3,random,hdf5,668.314,60.172,729.636
9,175000,1000,0.2,3,random,hdf5,752.049,63.904,817.228
10,175000,1000,0.2,3,random,hdf5,694.731,62.661,758.579
1,175000,1000,0.5,3,random,hdf5,2119.681,177.642,2300.996
2,175000,1000,0.5,3,random,hdf5,1803.482,153.756,1960.353
3,175000,1000,0.5,3,random,hdf5,1690.703,148.14,1841.929
4,175000,1000,0.5,3,random,hdf5,1946.475,162.289,2112.079
5,175000,1000,0.5,3,random,hdf5,1866.041,158.454,2027.572
6,175000,1000,0.5,3,random,hdf5,1903.398,158.625,2065.257
7,175000,1000,0.5,3,random,hdf5,2093.179,175.464,2272.051
8,175000,1000,0.5,3,random,hdf5,2512.382,207.896,2724.62
9,175000,1000,0.5,3,random,hdf5,1957.452,167.355,2128.006
10,175000,1000,0.5,3,random,hdf5,1979.81,166.3,2149.491
1,175000,1000,0.8,3,random,hdf5,3502.022,294.944,3802.8
2,175000,1000,0.8,3,random,hdf5,3093.786,277.302,3376.363
3,175000,1000,0.8,3,random,hdf5,2533.217,214.727,2752.2
4,175000,1000,0.8,3,random,hdf5,3707.5,320.599,4034.228
5,175000,1000,0.8,3,random,hdf5,2982.188,252.645,3239.838
6,175000,1000,0.8,3,random,hdf5,3591.675,303.919,3901.716
7,175000,1000,0.8,3,random,hdf5,3632.998,321.192,3960.312
8,175000,1000,0.8,3,random,hdf5,2953.83,262.995,3221.77
9,175000,1000,0.8,3,random,hdf5,2872.952,250.124,3127.897
10,175000,1000,0.8,3,random,hdf5,3412.352,308.384,3726.473
1,175000,1000,1,3,random,hdf5,2285.771,270.346,2560.24
2,175000,1000,1,3,random,hdf5,2301.076,237.402,2542.49
3,175000,1000,1,3,random,hdf5,1811.911,189.344,2004.434
4,175000,1000,1,3,random,hdf5,4212.475,426.373,4646.033
5,175000,1000,1,3,random,hdf5,896.808,118.014,1016.533
6,175000,1000,1,3,random,hdf5,2335.615,239.21,2578.861
7,175000,1000,1,3,random,hdf5,3493.505,348.519,3847.869
8,175000,1000,1,3,random,hdf5,2532.718,265.02,2802.26
9,175000,1000,1,3,random,hdf5,3042.297,338.991,3386.541
10,175000,1000,1,3,random,hdf5,1988.783,232.932,2225.22
