"batch_size" "iteration" "ari_kmeans" "ari_mbkmeans" "ari_mbkmeans_hdf5"
0.001 "1" 0.989899873024138 0.934585230969995 0.949646776398657
0.001 "2" 0.494672999084888 0.987384418891373 0.495025612420055
0.001 "3" 0.529085941705078 0.997039606563597 0.987263982865056
0.005 "1" 0.98102641052273 0.974683978045991 0.976166298547653
0.005 "2" 0.525855225801954 0.953405103691423 0.980046718057065
0.005 "3" 0.535448929474003 0.987696823649066 0.994596375433237
0.01 "1" 0.990273426539472 0.990273426539472 0.990664283068248
0.01 "2" 0.496119669715744 0.967291315385624 0.975569718127709
0.01 "3" 0.50128517054509 1 0.996977832371395
0.05 "1" 0.993655154603003 0.990219303125752 0.989700311284276
0.05 "2" 0.990020665562861 0.990020665562861 0.990020665562861
0.05 "3" 0.987627900333485 0.968257233863165 0.990619138777184
0.25 "1" 0.497742654127613 0.977325348492296 0.974054144945024
0.25 "2" 0.987253129932033 0.987253129932033 0.987253129932033
0.25 "3" 0.550905144313441 0.987223422588278 0.990648818610783
0.5 "1" 0.98003653817951 0.98003653817951 0.98003653817951
0.5 "2" 0.536952397465227 0.986790632858625 0.987239850092418
0.5 "3" 0.494871434086823 0.978012908390779 0.978012908390779
0.99 "1" 0.989854221577204 0.989854221577204 0.993226214609281
0.99 "2" 0.996617583980753 0.996617583980753 0.996617583980753
0.99 "3" 0.983848115046734 0.983848115046734 0.983848115046734
1 "1" 0.996955475672848 0.996955475672848 0.996955475672848
1 "2" 0.990243075738759 0.990243075738759 0.990243075738759
1 "3" 0.520311171983421 0.993592836537298 0.993592836537298
