"batch_size" "iteration" "wcss_kmeans" "wcss_mbkmeans" "wcss_mbkmeans_hdf5"
0.001 "1" 1001948.17797936 2219395.44391176 1997036.15664363
0.001 "2" 2920858.11171999 1665609.20433857 4402976.07213202
0.001 "3" 2593177.36339272 1898344.12529597 1638126.81078521
0.005 "1" 985414.439985902 1644215.09471766 1783662.6451382
0.005 "2" 2468081.24105979 1819063.42830593 1951482.02700874
0.005 "3" 2836115.26235833 1331587.71288012 1481431.3102862
0.01 "1" 1017237.30305785 1263958.06653918 1684774.42861268
0.01 "2" 2967427.07406434 1585045.40695691 1749006.51307075
0.01 "3" 2669386.88934095 1513411.06077555 1206318.51640742
0.05 "1" 992340.091246354 1181413.27753362 1063161.409872
0.05 "2" 967961.182001333 1015346.53154492 1021872.68556926
0.05 "3" 1047520.7236966 1136964.14995256 1087463.10141045
0.25 "1" 2760216.93718613 990330.823147938 996966.314038102
0.25 "2" 999931.222703076 1014381.22960892 1023424.45056664
0.25 "3" 2720508.44456444 1034206.97156269 1032519.34988889
0.5 "1" 1009842.30622851 1013109.96458613 1013565.00149668
0.5 "2" 2709513.89214041 958651.770471724 963211.055272994
0.5 "3" 2589194.83779375 1005214.08631092 1005266.67860792
0.99 "1" 950768.483050711 950812.367969386 950817.799281668
0.99 "2" 1006374.72498853 1006431.6162381 1006419.32777281
0.99 "3" 971139.349504069 971217.543862867 971169.695370853
1 "1" 999324.876454478 999324.876454472 999324.876454472
1 "2" 968496.3021534 968496.302153409 968496.302153409
1 "3" 2698603.86674914 928283.213016451 928283.213016451
